"gauging_station";"river";"longitude";"latitude";"km_csa";"pnp";"MThw";"MTnw"
"Wehr Geesthacht UP";"Elbe_tidal";10.3347692339898;53.4232947776338;0;-5;779.4860422;557.5373388
"Altengamme";"Elbe_tidal";10.2973858811647;53.4311949630199;3;-5.005;770.363894;538.6009636
"Zollenspieker";"Elbe_tidal";10.1854114917521;53.3987026601595;12;-5.02;749.4068301;481.314723
"Over";"Elbe_tidal";10.101101118766;53.4286891576019;19;-5.082;742.7303387;432.423126
"Bunthaus";"Elbe_tidal";10.0640199066915;53.461413358382;24;-5;725.807567;390.7579708
"Schoepfstelle";"Elbe_tidal";10.0615775029062;53.5084033602;29;-5.004;718.4583333;353.9916667
"St. Pauli";"Elbe_tidal";9.96997265041196;53.5454434077035;37;-5;711.0011336;346.8041661
"Seemannshoeft (Pegel HPA)";"Elbe_tidal";9.8795839640232;53.5395714695715;43;-5;705.889188;352.8371829
"Blankenese";"Elbe_tidal";9.79579715454119;53.5577226094188;49;-5;701.0049596;359.8993907
"Schulau";"Elbe_tidal";9.70288134079074;53.5679137108774;55;-5.006;690.1529262;363.8428794
"Luehort";"Elbe_tidal";9.63335519814266;53.5715739180061;59;-5.011;685.0193708;367.6818336
"Stadersand";"Elbe_tidal";9.52660247097116;53.6297265634628;69;-5.027;678.1144821;374.8673516
"Grauerort";"Elbe_tidal";9.49491130777029;53.6779055185805;74;-5.018;672.0971518;375.7081763
"Kollmar";"Elbe_tidal";9.45976257475794;53.7311223905371;81;-5.011;665.3590336;377.8836191
"Krautsand";"Elbe_tidal";9.39155349164272;53.7542849931731;85;-5.018;661.2480658;375.8852345
"Glueckstadt";"Elbe_tidal";9.40907678043328;53.7845441238797;88;-5;657.5325209;377.2772109
"Brokdorf";"Elbe_tidal";9.31603460099005;53.8626994050597;98;-5.025;655.6361768;379.5195578
"Brunsbuettel Mole 4 (Pegel)";"Elbe_tidal";9.12577945500697;53.8874882587191;111;-5;649.9103018;372.4632937
"Osteriff";"Elbe_tidal";9.02955448987643;53.8552022967263;118;-5;653.8072835;370.8860544
"Otterndorf";"Elbe_tidal";8.86889443512172;53.8342997721532;128;-5;651.6960465;364.1252834
"Cuxhaven-Steubenhoeft";"Elbe_tidal";8.7174298808659;53.8676993774485;139;-5.019;654.5674224;359.8849773
"Mittelgrund";"Elbe_tidal";8.63621468987926;53.9420820637069;147;-5;649.1904492;350.6978458
"Bake C - Scharhoern";"Elbe_tidal";8.46803644234889;53.9698574396595;159;-4.987;644.7069435;347.1798753
"Bake Z";"Elbe_tidal";8.31461160207831;54.013526568605;170;-5;640.5789165;356.6527166
