"gauging_station";"river";"longitude";"latitude";"km_csa";"pnp";"MThw";"MTnw"
"WHV ALTER VORHAFEN";"Jade_tidal";8.14513395509027;53.5144956203034;0;-5.04;688;309
"WHV NEUER VORHAFEN";"Jade_tidal";8.16072874214752;53.5303060961032;2;-5.02;679;308
"HOOKSIELPLATE";"Jade_tidal";8.14859023383072;53.6691651198711;17;-5.04;664;329
"SCHILLIG";"Jade_tidal";8.0470731826154;53.6990043558487;23;-5.02;660;337
"MELLUMPLATE";"Jade_tidal";8.09250744770556;53.771713633119;30;-5.04;650;348
"WANGEROOGE OST";"Jade_tidal";7.98491604727857;53.7670777517444;32;-5.01;648;354
"WANGEROOGE NORD";"Jade_tidal";7.92920021023643;53.806298564048;37;-5.04;644;360
