"gauging_station";"river";"longitude";"latitude";"km_csa";"pnp";"MThw";"MTnw"
"Herbrum";"Ems_tidal";7.3166670032006;53.0499999963002;1;0;173;68
"Papenburg";"Ems_tidal";7.36551912325429;53.1081925907267;13;0;143;-24
"Leerort";"Ems_tidal";7.42611367661952;53.2153378298018;28;0;143;-93
"Emden";"Ems_tidal";7.18933899621308;53.3449149991738;53;0;127;-174
"Delfzijl";"Ems_tidal";6.93333299777681;53.3333329992089;70;0;115;-157
